,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
25,"Bristol, PA", 20 feet," $186,963 ",40.6 years, 1.65 ,38.9 years, 105.4 ," $43,166 "," 9,595 (100% urban, 0% rural). "," 5,818 "
26,"Brookhaven, PA", 119 feet," $201,517 ",40.6 years, 1.70 ,42.0 years, 105.0 ," $68,738 "," 8,073 (100% urban, 0% rural). "," 4,757 "
27,Broomall, 360 feet," $327,991 ",40.6 years, 2.90 ,46.1 years, 106.8 ," $79,746 "," 10,789. "," 3,718 "
28,"Butler, PA", 1040 feet," $98,485 ",40.6 years, 2.69 ,38.5 years, 93.1 ," $30,911 "," 13,369 (100% urban, 0% rural). "," 4,961 "
29,"California, PA", 1000 feet," $120,826 ",40.6 years, 11.0 ,25.3 years, 92.6 ," $37,117 "," 6,678 (83% urban, 17% rural). ", 605 
30,"Camp Hill, PA", 410 feet," $218,789 ",40.6 years, 2.15 ,40.2 years, 98.2 ," $72,048 "," 7,892 (100% urban, 0% rural). "," 3,671 "
31,Canonsburg, 1000 feet," $139,036 ",40.6 years, 2.32 ,40.8 years, 93.3 ," $50,805 "," 8,924 (100% urban, 0% rural). "," 3,840 "
32,"Carbondale, PA", 1100 feet," $89,898 ",40.6 years, 3.24 ,44.0 years, 93.8 ," $34,200 "," 8,758 (100% urban, 0% rural). "," 2,705 "
33,"Carlisle, PA", 480 feet," $175,345 ",40.6 years, 5.43 ,31.9 years, 98.1 ," $47,638 "," 18,916 (100% urban, 0% rural). "," 3,483 "
34,"Carnegie, PA", 770 feet," $108,027 ",40.6 years, 1.65 ,35.6 years, 94.8 ," $46,589 "," 7,912 (100% urban, 0% rural). "," 4,788 "
35,Carnot-Moon,," $182,343 ",40.6 years, 5.97 ,32.7 years, 96.0 ," $60,923 "," 11,372. "," 1,905 "
36,Castle Shannon, 1160 feet," $127,071 ",40.6 years, 1.63 ,41.1 years, 94.8 ," $52,449 "," 8,273 (100% urban, 0% rural). "," 5,086 "
37,Catasauqua, 358 feet," $158,378 ",40.6 years, 1.27 ,37.1 years, 99.5 ," $54,327 "," 6,512 (100% urban, 0% rural). "," 5,146 "
38,Chambersburg, 621 feet," $156,970 ",40.6 years, 6.87 ,36.7 years, 91.3 ," $46,091 "," 20,602 (100% urban, 0% rural). "," 3,000 "
39,"Chester, PA", 20 feet," $68,575 ",40.6 years, 4.85 ,30.5 years, 101.9 ," $27,779 "," 34,133 (100% urban, 0% rural). "," 7,044 "
40,Clairton, 900 feet," $51,441 ",40.6 years, 2.76 ,40.1 years, 93.4 ," $31,514 "," 6,720 (100% urban, 0% rural). "," 2,431 "
41,"Clearfield, PA", 1114 feet," $82,804 ",40.6 years, 1.82 ,44.5 years, 84.9 ," $43,719 "," 6,064 (100% urban, 0% rural). "," 3,338 "
42,Clifton Heights, 191 feet," $133,660 ",40.6 years, 0.62 ,32.6 years, 103.8 ," $45,650 "," 6,668 (100% urban, 0% rural). "," 10,704 "
43,"Coatesville, PA", 320 feet," $129,206 ",40.6 years, 1.85 ,30.2 years, 104.2 ," $37,600 "," 13,164 (100% urban, 0% rural). "," 7,104 "
44,Collingdale, 83 feet," $113,950 ",40.6 years, 0.87 ,34.7 years, 102.9 ," $48,374 "," 8,797 (100% urban, 0% rural). "," 10,149 "
45,Colonial Park,," $162,402 ",40.6 years, 4.69 ,38.2 years, 98.2 ," $55,383 "," 13,229. "," 2,819 "
46,"Columbia, PA", 300 feet," $104,767 ",40.6 years, 2.44 ,36.8 years, 94.9 ," $41,028 "," 10,383 (100% urban, 0% rural). "," 4,257 "
47,Connellsville, 920 feet," $90,425 ",40.6 years, 2.26 ,39.1 years, 92.4 ," $30,475 "," 7,514 (100% urban, 0% rural). "," 3,330 "
48,Conshohocken, 95 feet," $290,963 ",40.6 years, 0.98 ,32.7 years, 108.6 ," $80,928 "," 7,895 (100% urban, 0% rural). "," 8,032 "
49,Corry, 1428 feet," $84,531 ",40.6 years, 6.10 ,40.2 years, 91.4 ," $44,329 "," 6,457 (91% urban, 9% rural). "," 1,059 "
50,"Croydon, PA", 20 feet," $206,104 ",40.6 years, 2.48 ,41.6 years, 105.4 ," $53,828 "," 9,950. "," 4,013 "
51,Darby Township,," $150,866 ",38.0 years, 1.43 ,37.3 years, 109.2 ," $50,728 "," 9,673."," 6,775 "
52,"Darby, PA", 50 feet," $75,967 ",40.6 years, 0.82 ,30.0 years, 102.6 ," $34,905 "," 10,695 (100% urban, 0% rural). "," 13,110 "
53,Dickson City, 783 feet," $153,963 ",40.6 years, 4.71 ,43.4 years, 95.8 ," $41,535 "," 6,006 (99% urban, 1% rural). "," 1,275 "
54,Dormont, 1190 feet," $132,434 ",40.6 years, 0.74 ,36.3 years, 94.8 ," $60,806 "," 8,515 (100% urban, 0% rural). "," 11,497 "
55,Downingtown, 250 feet," $232,570 ",40.6 years, 2.19 ,35.3 years, 105.3 ," $62,435 "," 7,936 (100% urban, 0% rural). "," 3,632 "
