,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
47,Central Islip, 88 feet," $259,690 ",38.4 years, 7.26 ,33.7 years, 152.4 ," $68,536 "," 34,450. "," 4,742 "
48,Cheektowaga, 659 feet," $106,900 ",38.4 years, 25.5 ,40.4 years, 102.1 ," $47,868 "," 73,199"," 2,876 "
49,Chenango,," $137,539 ",40.7 years, 33.9 ,44.9 years, 105.2 ," $67,588 "," 11,252. ", 332 
50,Chestnut Ridge, 416 feet," $444,424 ",38.4 years, 4.94 ,41.3 years, 143.4 ," $95,455 "," 8,140 (100% urban, 0% rural). "," 1,648 "
51,"Chili, NY",," $148,929 ",40.7 years, 39.7 ,40.8 years, 107.3 ," $66,881 "," 28,625. ", 720 
52,"Cicero, NY",," $142,599 ",40.7 years, 48.5 ,39.9 years, 106.3 ," $69,838 "," 31,632. ", 653 
53,"Clarence, NY",," $261,263 ",40.7 years, 53.4 ,43.7 years, 108.3 ," $95,649 "," 30,673. ", 574 
54,"Clarkson, NY", 429 feet," $147,180 ",40.7 years, 33.2 ,40.7 years, 99.3 ," $64,867 "," 6,736. ", 203 
55,Clarkstown,," $457,758 ",40.7 years, 38.5 ,42.8 years, 170.3 ," $103,300 "," 84,187. "," 2,184 "
56,Claverack,," $207,351 ",40.7 years, 47.7 ,46.2 years, 103.3 ," $61,658 "," 6,021. ", 126 
57,"Clay, NY",," $139,800 ",40.7 years, 48.0 ,38.9 years, 106.1 ," $70,336 "," 58,206. "," 1,212 "
58,Clifton Park, 340 feet," $319,560 ",40.7 years, 48.6 ,42.1 years, 114.5 ," $106,159 "," 36,705. ", 756 
59,Cohoes,," $157,495 ",38.4 years, 3.74 ,40.0 years, 107.5 ," $48,139 "," 16,212 (100% urban, 0% rural). "," 4,330 "
60,"Collins, NY", 883 feet," $112,041 ",40.7 years, 48.1 ,40.1 years, 99.4 ," $48,447 "," 6,601. ", 137 
61,Colonie,," $208,489 ",38.4 years, 3.30 ,41.3 years, 108.0 ," $79,231 "," 7,913 (100% urban, 0% rural). "," 2,396 "
62,Commack, 130 feet," $481,459 ",38.4 years, 12.1 ,45.1 years, 153.3 ," $125,944 "," 36,124. "," 2,995 "
63,"Concord, NY",," $147,230 ",40.7 years, 70.1 ,42.9 years, 100.6 ," $57,515 "," 8,494. ", 121 
64,Congers, 191 feet," $459,094 ",38.4 years, 3.15 ,43.8 years, 143.4 ," $105,455 "," 8,363. "," 2,655 "
65,Copiague,," $316,930 ",38.4 years, 3.19 ,39.3 years, 154.3 ," $70,599 "," 22,993. "," 7,207 "
66,"Coram, NY", 99 feet," $316,211 ",38.4 years, 13.8 ,40.1 years, 153.3 ," $87,010 "," 39,113. "," 2,836 "
67,"Corning, NY", 937 feet," $112,233 ",38.4 years, 3.11 ,38.2 years, 85.2 ," $52,219 "," 10,993 (100% urban, 0% rural). "," 3,538 "
68,"Cornwall, NY",," $299,586 ",40.7 years, 26.8 ,41.7 years, 147.4 ," $83,516 "," 12,646. ", 471 
69,Cortlandt,," $420,718 ",40.7 years, 39.7 ,43.3 years, 163.2 ," $106,442 "," 41,592. "," 1,048 "
70,Cortlandville,," $133,012 ",40.7 years, 49.8 ,41.6 years, 94.4 ," $57,474 "," 8,509. ", 171 
71,"Cortland, NY",," $101,610 ",38.4 years, 3.92 ,28.1 years, 85.3 ," $44,689 "," 19,164 (100% urban, 0% rural). "," 4,887 "
72,"Crawford, NY",," $271,420 ",40.7 years, 40.1 ,40.8 years, 128.2 ," $80,046 "," 9,316. ", 232 
73,Croton-on-Hudson, 160 feet," $528,819 ",38.4 years, 4.75 ,43.5 years, 153.2 ," $122,409 "," 8,235 (100% urban, 0% rural). "," 1,734 "
74,"De Witt, NY",," $158,242 ",40.7 years, 33.9 ,42.5 years, 107.5 ," $65,240 "," 25,838. ", 763 
75,"Deer Park, NY", 74 feet," $359,373 ",38.4 years, 6.26 ,40.9 years, 153.3 ," $87,590 "," 27,745. "," 4,434 "
76,Deerpark,," $168,814 ",40.7 years, 66.4 ,41.9 years, 124.2 ," $63,124 "," 7,901. ", 119 
77,"Delmar, NY",," $286,716 ",35.9 years, 4.38 ,42.8 years, 114.7 ," $92,682 "," 8,384."," 1,913 "
78,"Depew, NY",," $122,145 ",38.4 years, 5.07 ,40.1 years, 102.0 ," $53,446 "," 15,205 (100% urban, 0% rural). "," 3,001 "
79,Dix Hills,," $711,860 ",38.4 years, 15.9 ,44.7 years, 155.8 ," $149,912 "," 26,892. "," 1,687 "
80,Dobbs Ferry, 210 feet," $629,411 ",38.4 years, 2.44 ,41.3 years, 156.4 ," $125,504 "," 11,098 (100% urban, 0% rural). "," 4,545 "
81,"Dover, NY",," $242,443 ",40.7 years, 55.7 ,40.8 years, 127.6 ," $70,311 "," 8,699. ", 156 
82,"Dunkirk, NY", 598 feet," $66,446 ",38.4 years, 4.53 ,38.1 years, 83.7 ," $35,022 "," 12,216 (100% urban, 0% rural). "," 2,698 "
83,East Aurora, 917 feet," $195,780 ",38.4 years, 2.51 ,43.7 years, 102.8 ," $69,475 "," 6,264 (100% urban, 0% rural). "," 2,491 "
84,East Farmingdale, 70 feet," $389,791 ",38.4 years, 5.38 ,33.6 years, 153.9 ," $89,242 "," 6,484. "," 1,205 "
85,East Fishkill,," $366,535 ",40.7 years, 56.9 ,41.3 years, 146.2 ," $109,448 "," 29,029. ", 510 
86,East Garden City,," $325,536 ",38.4 years, 3.03 ,22.5 years, 159.2 ," $91,250 "," 6,208. "," 2,047 "
87,East Glenville, 350 feet," $205,286 ",38.4 years, 7.27 ,44.5 years, 107.2 ," $75,078 "," 6,616. ", 910 
88,East Hills,," $962,814 ",38.4 years, 2.29 ,43.3 years, 157.7 ," $174,213 "," 7,093 (100% urban, 0% rural). "," 3,101 "
89,East Islip, 15 feet," $414,250 ",38.4 years, 4.11 ,41.5 years, 152.8 ," $120,112 "," 14,475. "," 3,525 "
90,East Massapequa,," $434,708 ",38.4 years, 3.50 ,41.8 years, 152.7 ," $104,159 "," 19,069. "," 5,451 "
91,East Meadow,," $418,619 ",38.4 years, 6.29 ,43.0 years, 155.5 ," $97,374 "," 38,132. "," 6,062 "
92,East Northport, 228 feet," $458,131 ",38.4 years, 5.86 ,45.3 years, 155.4 ," $99,536 "," 20,217. "," 3,449 "
93,East Patchogue,," $322,377 ",38.4 years, 8.32 ,41.7 years, 152.7 ," $71,511 "," 22,469. "," 2,702 "
